CaseNumber,CaseName,CaseCategoryDesc,CaseStatusDesc,PrimaryLaw,PrimarySection,DateFiled,SettlementDate,FedPenalty,SEPCost,TotalCompActionAmt,SettlementCnt
04-2002-4517,"EMPIRE CORE AND SUPPLY, LLC (Complaint/CAFO)",Administrative - Formal,Closed,CWA,301/402,02/20/2003,02/20/2003,2200,0,0,1
04-2002-4522,"Dunedin FL, City of",Administrative - Formal,Final Order Issued,CWA,405,02/11/2003,02/11/2003,600,0,0,1
04-2002-4524,CITY OF ORMOND BEACH ADVANCE POLLUTION CONTROL FACILITY,Administrative - Formal,Closed,CWA,405,02/25/2003,02/25/2003,600,0,0,1
04-2002-4525,"TITUSVILLE, FL, CITY OF",Administrative - Formal,Closed,CWA,405,02/25/2003,02/25/2003,600,0,0,1
04-2002-4526,"Winter Springs, FL, City of",Administrative - Formal,Closed,CWA,405,01/23/2003,01/23/2003,7200,0,0,1
04-2002-4531,"Edgewater, FL, City of",Administrative - Formal,Closed,CWA,405,09/24/2002,09/24/2002,600,0,0,1
04-2002-4533,"Sunrise, FL, City of",Administrative - Formal,Closed,CWA,405,09/24/2002,09/24/2002,600,0,0,1
04-2002-4534,"Plantation Fl, City of",Administrative - Formal,Closed,CWA,405,02/11/2003,02/11/2003,600,0,0,1
04-2002-4535,"Orange Park, FL, Town of",Administrative - Formal,Closed,CWA,405,03/06/2003,03/06/2003,600,0,0,1
04-2002-4539,"TALLAHASSEE, CITY OF",Administrative - Formal,Closed,CWA,405,02/25/2003,02/25/2003,1200,0,0,1
04-2002-4752,Affordable Used Auto Parts (Compliance Order),Administrative - Formal,Closed,CWA,301/402,,06/12/2002,0,0,0,1
04-2002-4753,"All Auto Salvage, Inc.",Administrative - Formal,Closed,CWA,301/402,,08/09/2002,0,0,0,1
04-2002-4755,"Florida Auto Recycling, Inc.",Administrative - Formal,Closed,CWA,301/402,,08/20/2002,0,0,0,1
04-2002-4756,"Empire Core and Supply, L.L.C.",Administrative - Formal,Closed,CWA,301/402,,07/09/2002,0,0,0,1
04-2002-4763,"Chipley, FL, City of  (WWTP)   (AO)",Administrative - Formal,Closed,CWA,405,,07/12/2002,0,0,0,1
04-2002-5052,South Florida Water Management District  (SEEP),Administrative - Formal,Closed,CWA,311[B][1],06/06/2002,06/06/2002,500,0,0,1
04-2002-5067,"Johnson & Johnson Propane, Inc.  (SEEP)",Administrative - Formal,Closed,CWA,311[B][1],09/03/2002,09/03/2002,5000,0,0,1
04-2002-5752,"WALKER, T.B.",Administrative - Formal,Final Order Issued,CWA,404,,11/07/2001,0,0,0,1
04-2002-5758,"Peninsula Developers, Inc./Thomas Crabb",Administrative - Formal,Closed,CWA,404,,05/08/2002,0,0,0,1
04-2002-5771,U.S. Department of Interior/National Park Service,Administrative - Formal,Final Order Issued,CWA,404,,11/21/2002,0,0,1920000,1
04-2002-5772,Walton County Board of County Commissioners,Administrative - Formal,Final Order Issued,CWA,404,,09/23/2002,0,0,0,1
04-2002-5773,"Expressway Companies, Inc/Donald Mackenzie",Administrative - Formal,Final Order Issued,CWA,404,,10/09/2002,0,0,30000,1
04-2003-4501,"Chipley, FL, City of WWTP",Administrative - Formal,Closed,CWA,405,03/06/2003,03/06/2003,600,0,0,1
04-2003-4506,AAAA Truck and Van Used Auto Parts,Administrative - Formal,Closed,CWA,301/402,08/27/2003,08/27/2003,1000,0,0,1
04-2003-4514,"Mims East Coast Auto Salvage, Inc.",Administrative - Formal,Closed,CWA,301/402,05/07/2003,05/07/2003,2645,0,0,1
04-2003-4525,"Panama City Beach, FL, City of",Administrative - Formal,Closed,CWA,405,01/28/2004,01/28/2004,600,0,0,1
04-2003-4528,"Oldsmar, FL, City of",Administrative - Formal,Closed,CWA,405,10/31/2003,10/31/2003,600,0,0,1
04-2003-4535,"Sanford, FL, City of",Administrative - Formal,Closed,CWA,405,09/23/2003,09/23/2003,600,0,0,1
04-2003-4768,"Buen Samaritano Auto Sales, Inc.",Administrative - Formal,Closed,CWA,301/402,,12/04/2002,0,0,2000,1
04-2003-4769,AAAA Truck and Van Used Auto Parts,Administrative - Formal,Closed,CWA,301/402,,03/11/2003,0,0,2000,1
04-2003-4770,"Brother's Scrap Metals, Inc.",Administrative - Formal,Closed,CWA,301/402,,12/31/2002,0,0,2000,1
04-2003-4771,"Classic Auto Parts and Cars, Inc.",Administrative - Formal,Closed,CWA,301/402,,12/04/2002,0,0,2000,1
04-2003-4772,Exact Auto Salvage,Administrative - Formal,Closed,CWA,301/402,,03/11/2003,0,0,2000,1
04-2003-4773,Orlando Auto Recycling,Administrative - Formal,Closed,CWA,301/402,,12/31/2002,0,0,2000,1
04-2003-4774,"Unlimited Towing, Storage, Transportation, & Recovery, Inc.",Administrative - Formal,Closed,CWA,301/402,,12/30/2002,0,0,2000,1
04-2003-4775,Executive Auto Recycling Corporation,Administrative - Formal,Closed,CWA,301/402,,12/04/2002,0,0,2000,1
04-2003-4776,Floyd's Used Auto Parts,Administrative - Formal,Closed,CWA,301/402,,12/31/2002,0,0,2000,1
04-2003-4777,East Colonial Recycling,Administrative - Formal,Closed,CWA,301/402,,12/31/2002,0,0,2000,1
04-2003-4778,"Dominy, Tom d/b/a Action Auto Salvage",Administrative - Formal,Closed,CWA,301/402,,12/04/2002,0,0,2000,1
04-2003-4779,INOCENCIO VILORIO JUNKYARD,Administrative - Formal,Closed,CWA,301/402,,03/11/2003,0,0,2000,1
04-2003-4780,Incencio Vilorio d/b/a Wendy's Auto Salvage,Administrative - Formal,Closed,CWA,301/402,,12/30/2002,0,0,2000,1
04-2003-4795,"Tallahassee, FL, City of",Administrative - Formal,Closed,CWA,405,,04/23/2003,0,0,1720000,1
04-2003-5003,"Central Florida Pipeline, LLC (CFPL) (Oil Spill SEEP)",Administrative - Formal,Closed,CWA,311[B][1],11/26/2002,11/26/2002,500,0,23550,1
04-2003-5024,"Penn Tank Lines, Inc. (Oil Spill SEEP)",Administrative - Formal,Closed,CWA,311F,06/02/2003,06/02/2003,500,0,10950,1
04-2003-5026,"Underground Utility Contractors, Inc. (Oil Spill SEEP)",Administrative - Formal,Closed,CWA,311F,05/05/2003,05/05/2003,500,0,37500,1
04-2003-5059,HELENA CHEMICAL CO.,Administrative - Formal,Closed,CWA,311B,10/27/2003,10/27/2003,500,0,52445,1
04-2003-5126,Norfolk Southern Railway Co (Oil Spills),Administrative - Formal,Final Order Issued,CWA,311F,04/15/2003,04/15/2003,20040,0,20160,1
04-2003-5132,"TRANSMONTAIGNE, INC. (Oil Spill Penalty Action)",Administrative - Formal,Final Order Issued,CWA,311B,09/22/2003,09/22/2003,500,0,1275,1
04-2003-5752,Tide Creek Landing,Administrative - Formal,Final Order Issued,CWA,404,,11/14/2002,0,0,110000,1
04-2003-5754,"Arnett, Toy and Rena (Cease & Desist Order)",Administrative - Formal,Final Order Issued,CWA,404,,04/02/2003,0,0,0,1
04-2003-5759,"BROWN, NORMAN  (Cease & Desist Order)",Administrative - Formal,Final Order Issued,CWA,404,,03/05/2003,0,0,0,1
04-2003-5760,"MML VENTURES, INC./LEO CALLIGARO",Administrative - Formal,Final Order Issued,CWA,404,,07/23/2003,0,0,0,1
04-2003-5763,"Noel, Raymond and Reve Development Corp. (Consent Agmt)",Administrative - Formal,Final Order Issued,CWA,404,,06/20/2003,0,0,28750,1
04-2003-5765,"BROWN, NORMAN (Consent Agreement)",Administrative - Formal,Final Order Issued,CWA,404,,05/13/2003,0,0,15000,1
04-2003-5769,"HOUCK, RANDALL J, HOUCK, DOROTHY S., HOUCK LIMITED PARTNERSHIP",Administrative - Formal,Closed,CWA,404,,01/13/2003,0,0,245000,1
04-2003-9100,HOME DEPOT (NATIONAL CASE) 5 R4 FACILITIES (LEAD),Judicial,Closed,CWA,301/402,02/26/2008,05/14/2008,93006.36,0,1250000,1
04-2004-4503,Inocencio Vilorio Junkyard,Administrative - Formal,Closed,CWA,301/402,09/08/2004,09/08/2004,2000,0,0,1
04-2004-4513,"Arcadia, FL, City of (WWTP)",Administrative - Formal,Closed,CWA,405,09/14/2004,09/14/2004,600,0,0,1
04-2004-4515,Escambia County Utilities - Main Street WWTP,Administrative - Formal,Closed,CWA,405,09/14/2004,09/14/2004,600,0,0,1
04-2004-4527,Exact Auto Salvage,Administrative - Formal,Closed,CWA,301/402,11/01/2004,11/01/2004,1000,0,0,1
04-2004-4762,"Benitez, Jose, Owner, Inocencio Vilorio Junkyard",Administrative - Formal,Closed,CWA,308,,01/28/2004,0,0,1000,1
04-2004-4764,RYLAND HOMES (WESTFIELD LAKES),Administrative - Formal,Closed,CWA,301/402,,04/01/2004,0,0,3000,1
04-2004-4765,RYLAND HOMES (WESTCHESTER),Administrative - Formal,Closed,CWA,301/402,,04/07/2004,0,0,3000,1
04-2004-4766,RYLAND HOMES (WENTWORTH),Administrative - Formal,Closed,CWA,301/402,,04/07/2004,0,0,3000,1
04-2004-4767,MERRICK LANDING AT SUMMERPORT (RYLAND HOMES),Administrative - Formal,Closed,CWA,301/402,,04/01/2004,0,0,3000,1
04-2004-4768,RYLAND HOMES (EDEN ISLE AT SUMMERPORT),Administrative - Formal,Closed,CWA,301/402,,04/01/2004,0,0,3000,1
04-2004-4772,BEAZER HOMES CORP (PALMA VISTA AT METROWEST),Administrative - Formal,Closed,CWA,301/402,,04/01/2004,0,0,3000,1
04-2004-4773,BEAZER HOMES CORP. (WINDSOR LANDING),Administrative - Formal,Closed,CWA,301/402,,04/01/2004,0,0,3000,1
04-2004-4774,BEAZER HOMES CORP (CUMBRIAN LAKES),Administrative - Formal,Closed,CWA,301/402,,04/01/2004,0,0,3000,1
04-2004-4775,BEAZER HOMES CORP (NONA CREST),Administrative - Formal,Closed,CWA,301/402,,04/01/2004,0,0,3000,1
04-2004-4776,SANCTUARY AT WEST HAVEN (BEAZER HOMES CORP),Administrative - Formal,Closed,CWA,301/402,,04/01/2004,0,0,3000,1
04-2004-4779,DR HORTON (SPRING LAKE VILLAGE),Administrative - Formal,Closed,CWA,301/402,,04/05/2004,0,0,2000,1
04-2004-4781,DR HORTON (PARKSIDE AT ERROL ESTATES),Administrative - Formal,Closed,CWA,301/402,,04/01/2004,0,0,2000,1
04-2004-4782,DR HORTON (THE LAKES AT EAST PARK - RANDALL JOHNSON PROPERTIES),Administrative - Formal,Closed,CWA,301/402,,04/01/2004,0,0,3000,1
04-2004-4783,DR HORTON (FORESTBROOKE),Administrative - Formal,Closed,CWA,301/402,,04/07/2004,0,0,2000,1
04-2004-5003,"CAROLINA NATIONAL TRANSPORTATION, INC.",Administrative - Formal,Closed,CWA,311B,12/16/2003,12/16/2003,500,0,4423,1
04-2004-5061,"ATLANTIC MARINE, INC.",Administrative - Formal,Closed,CWA,311B,07/23/2004,07/23/2004,500,0,47000,1
04-2004-5072,"FLEXIBLE FOAM PRODUCTS, INC.",Administrative - Formal,Closed,CWA,311B,03/28/2005,03/28/2005,500,0,14210,1
04-2004-5755,"Egland, Leland",Administrative - Formal,Final Order Issued,CWA,404,,01/12/2004,0,0,10000,1
04-2004-5765,"Wooten, Thomas",Administrative - Formal,Final Order Issued,CWA,404,,12/18/2003,0,0,0,1
04-2004-7003,PORT PETROLEUM,Administrative - Formal,Closed,CWA,311J,10/12/2004,10/12/2004,850,0,100000,1
04-2004-7004,PORT CONSOLIDATED,Administrative - Formal,Closed,CWA,311J,10/12/2004,10/12/2004,650,0,50000,1
04-2004-7005,PALMDALE OIL COMPANY,Administrative - Formal,Closed,CWA,311J,11/10/2004,11/10/2004,800,0,2000,1
04-2004-9050,ARNETT WETLAND SITE,Judicial,Closed,CWA,404,11/14/2006,01/16/2007,90000,0,411000,1
04-2005-0530,"HARB DESIGN GROUP, INC. FOR WALGREEN PLAZA",Administrative - Formal,Closed,CWA,301/402,12/22/2004,12/22/2004,4500,0,0,1
04-2005-4500,"UNLIMITED TOWING, STORAGE, TRANSPORTATION AND RECOVERY, INC.",Administrative - Formal,Closed,CWA,301/402,06/30/2005,06/30/2005,1000,0,0,1
04-2005-4501,JOSE BENITEZ D/B/A WENDY'S AUTO SALVAGE,Administrative - Formal,Closed,CWA,301/402,06/30/2005,06/30/2005,1000,0,0,1
04-2005-4506,"ST. AUGUSTINE, FL, CITY OF, WWTP",Administrative - Formal,Closed,CWA,405,09/29/2005,09/29/2005,600,0,0,1
04-2005-4527,"PANACEA COASTAL REALTY, INC. (TAR PINES SUBDIVISION)",Administrative - Formal,Complaint Filed/AO Issued,CWA,301/402,09/02/2005,,,,,
04-2005-4528,"BAYOU POINTE, LLC/BAYOU POINTE",Administrative - Formal,Closed,CWA,301/402,09/15/2005,02/16/2006,20750,0,0,1
04-2005-4533,"DELAND, FL, CITY OF",Administrative - Formal,Closed,CWA,405,09/28/2005,09/28/2005,600,0,0,1
04-2005-4539,SR 65 MILL AND RESURFACE PROJECT,Administrative - Formal,Closed,CWA,301/402,09/30/2005,01/12/2006,36250,0,0,1
04-2005-4756,TOHOPEKALIGA WATER AUTHORITY,Administrative - Formal,Closed,CWA,405,,11/24/2004,0,0,0,1
04-2005-4790,"C.W. ROBERTS CONTRACTING, INC. (SR 65 MILL & RESURFACE PROJECT)",Administrative - Formal,Closed,CWA,301/402,,08/04/2005,0,0,6000,1
04-2005-4791,"PANACEA COASTAL REALTY, INC. / TAR PINES SUBDIVISION",Administrative - Formal,Closed,CWA,301/402,,08/12/2005,0,0,18000,1
04-2005-4792,BAYSIDE REALTY (BAYOU POINTE SUBDIVISION),Administrative - Formal,Closed,CWA,301/402,,08/12/2005,0,0,18000,1
04-2005-4793,BAYSIDE REALTY (DEER RIDGE ESTATES),Administrative - Formal,Closed,CWA,301/402,,08/04/2005,0,0,18000,1
04-2005-4809,"HOME PLACEMENT, INC./LIFESTYLES DEVELOPMENT CO/PONSIT REALTY, INC. (DEER RIDGE ESTATES)",Administrative - Formal,Closed,CWA,301/402,,09/19/2005,0,0,18000,1
04-2005-5007,WESTRA CONSTRUCTION CORP.,Administrative - Formal,Closed,CWA,311B,02/18/2005,02/18/2005,500,0,31000,1
04-2005-5016,JEA,Administrative - Formal,Closed,CWA,311B,06/16/2005,06/16/2005,500,0,3000,1
04-2005-5031,PENN TANK LINES,Administrative - Formal,Closed,CWA,311B,06/13/2005,06/13/2005,4500,0,304844,1
04-2005-5134,"CSX TRANSPORTATION, INC.   (TUCKER LAKE)",Administrative - Formal,Final Order Issued,CWA,311B,09/22/2005,09/22/2005,1487,0,10000,1
04-2005-5138,CSX TRANSPORTATION (OHIO RIVER),Administrative - Formal,Final Order Issued,CWA,311B,09/22/2005,09/22/2005,682,0,730,1
04-2005-5502,"KOPELOUSOS, JOHN (BAYOU POINTE SUBDIVISION)",Administrative - Formal,Closed,CWA,404,08/15/2005,09/27/2005,10000,0,0,1
04-2005-5754,SEMINOLE TRIBE OF FLORIDA,Administrative - Formal,Final Order Issued,CWA,404,,03/25/2005,0,0,47000,1
04-2005-5764,"LONDON, MARK",Administrative - Formal,Final Order Issued,CWA,404,,06/08/2005,0,0,5084,1
04-2005-5773,BOB HATTAWAY INVESTMENT CORPORATION  (WETLANDS),Administrative - Formal,Final Order Issued,CWA,404,,09/21/2005,0,0,0,1
04-2005-5774,"DILLON, VINCENT AND MARYANN",Administrative - Formal,Final Order Issued,CWA,404,,12/10/2004,0,0,10000,1
04-2006-4503,JEA (JACKSONVILLE ELECTRIC AUTHORITY) BUCKMAN WWTP,Administrative - Formal,Closed,CWA,405,11/02/2005,04/11/2006,94000,0,0,1
04-2006-4511,"BLOUNTSTOWN, FL, CITY OF   (WWTP)",Administrative - Formal,Closed,CWA,405,05/03/2006,05/03/2006,3000,0,0,1
04-2006-4518,"WINTER GARDEN, CITY OF",Administrative - Formal,Closed,CWA,405,09/15/2006,09/15/2006,600,0,0,1
04-2006-4536,"HOME PLACEMENT, INC., LIFESTYLES DEVELOPMENT COMPANY, PONSIT REALTY, INC. (DEER RIDGE ESTATES)",Administrative - Formal,Closed,CWA,301/402,09/27/2006,09/27/2006,7000,0,0,1
04-2006-4784,ALLIANCE DAIRIES PARTNERSHIP,Administrative - Formal,Closed,CWA,301/402,,08/18/2006,0,0,30325,1
04-2006-5023,"PDM BRIDGES, LLC",Administrative - Formal,Closed,CWA,311B,08/23/2006,08/23/2006,500,0,100000,1
04-2006-5029,AMERICAN MARINA ENTERPRISES,Administrative - Formal,Closed,CWA,311B,04/25/2007,04/25/2007,500,0,800,1
04-2006-5033,BLUE GOOSE GROWERS,Administrative - Formal,Closed,CWA,311B,09/19/2006,09/19/2006,500,0,12000,1
04-2006-5144,"KENAN TRANSPORT, LLC",Administrative - Formal,Closed,CWA,311B,09/28/2006,09/28/2006,560,0,32120,1
04-2006-5503,BOB HATTAWAY INVESTMENT CORPORATION (WETLANDS),Administrative - Formal,Closed,CWA,404,05/04/2006,05/04/2006,50000,0,0,1
04-2006-5751,"ANDERSON, STEVEN",Administrative - Formal,Final Order Issued,CWA,404,,12/15/2005,0,0,7500,1
04-2006-5753,"LONG, PAMELA",Administrative - Formal,Final Order Issued,CWA,404,,11/11/2005,0,0,30500,1
04-2006-5757,"STRAUB, GLENN",Administrative - Formal,Final Order Issued,CWA,404,,03/08/2006,0,0,5000,1
04-2006-5779,"THOMAS N. SAPORITO AND BAY MAGNOLIA, LLC",Administrative - Formal,Final Order Issued,CWA,404,,06/12/2006,0,0,5000,1
04-2006-7010,"GAINESVILLE  REGIONAL UTILITIES, DEERHAVEN GENERATING STATION",Administrative - Formal,Closed,CWA,311J,09/19/2006,09/19/2006,400,0,10000,1
04-2006-9035,"EXPORT TERMINAL, INC.",Judicial,Closed,CWA,311F,08/28/2006,06/09/2008,0,0,0,1
04-2007-4501,"ORANGE COUNTY, FLORIDA (SOUTH WATER RECLAMATION FACILITY)",Administrative - Formal,Closed,CWA,405,12/05/2006,12/05/2006,6000,0,0,1
04-2007-4519,"PLANT CITY, FL, CITY OF",Administrative - Formal,Closed,CWA,405,07/12/2007,07/12/2007,7000,0,0,1
04-2007-4539,"BARTOW, FL, CITY OF",Administrative - Formal,Closed,CWA,405,10/23/2007,10/23/2007,1200,0,0,1
04-2007-4787,"CRYSTAL RIVER, CITY OF, WWTP",Administrative - Formal,Closed,CWA,405,,08/09/2007,0,0,0,1
04-2007-4789,"BROOKSVILLE,  CITY OF, WWTP",Administrative - Formal,Closed,CWA,405,,08/09/2007,0,0,0,1
04-2007-4790,FRUITVILLE WWTP,Administrative - Formal,Closed,CWA,405,,08/09/2007,0,0,0,1
04-2007-4791,POLK COUNTY UTILITIES,Administrative - Formal,Closed,CWA,405,,08/09/2007,0,0,0,1
04-2007-5012,"COMPASS ENVIRONMENTAL, INC.",Administrative - Formal,Closed,CWA,311B,08/02/2007,08/02/2007,500,0,1583,1
04-2007-5019,"CALUMET FLORIDA, LLC",Administrative - Formal,Closed,CWA,311B,06/28/2007,06/28/2007,500,0,254141,1
04-2007-5025,OWENS CORNING,Administrative - Formal,Closed,CWA,311B,10/09/2007,10/09/2007,500,0,42802.41,1
04-2007-5157,"FLORIDA POWER CORPORATION DBA PROGRESS ENERGY FLORIDA, INC.",Administrative - Formal,Final Order Issued,CWA,311B,05/02/2007,05/02/2007,350,0,13700,1
04-2007-5163,"CSX TRANSPORTATION, INC.",Administrative - Formal,Closed,CWA,311B,12/21/2006,12/21/2006,469,0,7500,1
04-2007-5174,"COLLIER COUNTY, FLORIDA",Administrative - Formal,Final Order Issued,CWA,311B,08/06/2007,08/06/2007,9601,0,101252.97,1
04-2007-5183,EAGLE TRANSPORT CORPORATION,Administrative - Formal,Closed,CWA,311B,09/11/2007,09/11/2007,10108,0,330000,1
04-2007-5500,"WALTON COUNTY, DEFUNIAK SPRINGS, FL",Administrative - Formal,Closed,CWA,404,08/29/2007,08/29/2007,28750,107812,0,1
04-2007-5757,"CONSERVANCY PARTNERSHIP, LLC",Administrative - Formal,Final Order Issued,CWA,404,,09/11/2007,0,0,175000,1
04-2008-4511,LOXAHATCHEE RIVER  ENVIRONMENTAL CONTROL DISTRICT,Administrative - Formal,Closed,CWA,405,05/16/2008,05/16/2008,7000,0,1978,1
04-2008-4515,"CLEWISTON, FL, CITY OF",Administrative - Formal,Closed,CWA,405,07/23/2008,07/23/2008,900,0,0,1
04-2008-4516,OKALOOSA COUNTY WATER AND SEWER,Administrative - Formal,Closed,CWA,405,07/03/2008,07/03/2008,900,0,0,1
04-2008-4517,"TAVARES, FL, CITY OF WWTP",Administrative - Formal,Closed,CWA,405,07/23/2008,07/23/2008,900,0,0,1
04-2008-4519,"CRYSTAL RIVER,  CITY OF, WWTP",Administrative - Formal,Closed,CWA,405,08/28/2008,08/28/2008,1800,0,100,1
04-2008-4520,"LAKE CITY, FL, CITY OF WWTP",Administrative - Formal,Closed,CWA,405,08/12/2008,08/12/2008,900,0,100,1
04-2008-4521,"BROOKSVILLE, FL,CITY OF WWTF",Administrative - Formal,Closed,CWA,405,09/05/2008,09/05/2008,3600,0,100,1
04-2008-4525,"AQUA UTILITIES FLORIDA, INC.",Administrative - Formal,Closed,CWA,405,01/21/2009,01/21/2009,4999,0,0,1
04-2008-4534,POLK COUNTY UTILITIES,Administrative - Formal,Closed,CWA,405,11/18/2008,11/18/2008,12150,0,236,1
04-2008-4779,"HILLSBOROUGH COUNTY, FLORIDA",Administrative - Formal,Closed,CWA,301/402,,06/02/2008,0,0,50000,1
04-2008-4780,PORT OF PENSACOLA,Administrative - Formal,Closed,CWA,301/402,,06/19/2008,0,0,10000,1
04-2008-4781,"PEMBROKE PINES, FL, WWTP, CITY OF",Administrative - Formal,Closed,CWA,405,,05/14/2008,0,0,100,1
04-2008-4782,ST. LUCIE COUNTY UTILITIES,Administrative - Formal,Closed,CWA,405,,05/14/2008,0,0,100,1
04-2008-4783,"COOPER CITY, FL, CITY OF (WWTP)",Administrative - Formal,Closed,CWA,405,,05/14/2008,0,0,100,1
04-2008-4784,"MIRAMAR, FL, CITY OF",Administrative - Formal,Closed,CWA,405,,05/14/2008,0,0,100,1
04-2008-4791,"PERRY, FL, CITY OF",Administrative - Formal,Closed,CWA,405,,06/10/2008,0,0,100,1
04-2008-5011,FOOTHILLS TRUCKING (COTTINGHAM & BUTLER),Administrative - Formal,Closed,CWA,311B,08/12/2008,08/12/2008,500,0,61535.04,1
04-2008-5504,RICHMOND AMERICAN HOMES OF FLORIDA LP,Administrative - Formal,Closed,CWA,404,05/16/2008,05/16/2008,20000,0,0,1
04-2009-4504,PORT OF PENSACOLA,Administrative - Formal,Closed,CWA,301/402,03/19/2009,03/19/2009,19000,0,0,1
04-2009-4515,"PERRY, FL, CITY OF",Administrative - Formal,Closed,CWA,405,08/25/2009,08/25/2009,1600,0,0,1
04-2009-4516,"MIRAMAR, FL, CITY OF",Administrative - Formal,Closed,CWA,405,09/14/2009,09/14/2009,3000,0,0,1
04-2009-4517,ST. LUCIE COUNTY UTILITIES,Administrative - Formal,Closed,CWA,405,08/25/2009,08/25/2009,3000,0,0,1
04-2009-4518,"PEMBROKE PINES, FL, CITY OF",Administrative - Formal,Closed,CWA,405,09/15/2009,09/15/2009,3300,0,0,1
04-2009-4519,"COOPER, CITY, FL, CITY OF",Administrative - Formal,Closed,CWA,405,09/14/2009,09/14/2009,3200,0,0,1
04-2009-4801,"B-4, INC.",Administrative - Formal,Closed,CWA,301/402,,07/09/2009,0,0,500,1
04-2009-4802,"CITY OF WEST MELBOURNE, FL",Administrative - Formal,Closed,CWA,405,,06/19/2009,0,0,500,1
04-2009-4808,"PEACHY DAIRY, INC.",Administrative - Formal,Closed,CWA,301/402,,10/16/2009,0,0,600,1
04-2009-5500,"BARREIRO, BRUNO",Administrative - Formal,Closed,CWA,404,01/15/2009,01/15/2009,5000,0,0,1
04-2009-5502,PAMELA L. LONG,Administrative - Formal,Complaint Filed/AO Issued,CWA,404,05/07/2009,,,,,
04-2009-5507,VILLAGE OF HOLIDAY LAKE,Administrative - Formal,Closed,CWA,404,09/09/2009,09/09/2009,12500,0,0,1
04-2009-5511,"CONSERVANCY PARTNERSHIP, LLC",Administrative - Formal,Final Order Issued,CWA,404,09/09/2009,09/09/2009,65000,0,0,1
04-2009-5757,"GULF GATEWAY ENTERPRISES, LLC , THEIMAN ENTERPRISES, LLC",Administrative - Formal,Final Order Issued,CWA,404,,04/06/2009,0,0,0,1
04-2009-5758,"OLD SOUTH LAND; WALTON PLANTATION PROPERTIES; WALTON PLANTATION ROD AND GUN CLUB, INC.",Administrative - Formal,Final Order Issued,CWA,404,,01/08/2009,0,0,5000,1
04-2009-5759,VILLAGE OF HOLIDAY LAKE PROPERTY ASSOCIATION,Administrative - Formal,Final Order Issued,CWA,404,,01/21/2009,0,0,5000,1
04-2009-5773,EDWIN HENRY AND HTL FAMILY LIMITED PARTNERSHIP,Administrative - Formal,Final Order Issued,CWA,404,,05/08/2009,0,0,1100,1
04-2009-5777,"PEACE RIVER PROPERTIES INVESTMENTS, LLC",Administrative - Formal,Final Order Issued,CWA,404,,06/01/2009,0,0,1000,1
04-2009-5780,"VILLAGE OF HOLIDAY LAKE OF CHARLOTTE COUNTY PROPERTY OWNERS ASSOCIATION, INC.",Administrative - Formal,Final Order Issued,CWA,404,,08/12/2009,0,0,5000,1
04-2009-5786,JAMES DAVIS,Administrative - Formal,Final Order Issued,CWA,404,,09/14/2009,0,0,1100,1
04-2010-4521,"MONTICELLO, FL,CITY OF",Administrative - Formal,Closed,CWA,405,08/09/2010,08/09/2010,900,0,0,1
04-2010-4522,"COCOA, FL, CITY OF",Administrative - Formal,Closed,CWA,405,08/09/2010,08/09/2010,900,0,0,1
04-2010-5008,"BREITBURN MANAGEMENT COMPANY, LLC",Administrative - Formal,Closed,CWA,311B,03/17/2010,03/17/2010,500,0,50000,1
04-2010-5023,"DAVIDSON FUELS & OIL, INC.",Administrative - Formal,Closed,CWA,311B,11/10/2010,11/10/2010,500,0,10000,1
04-2010-5500,"RACETRAC PETROLEUM, INC.",Administrative - Formal,Closed,CWA,404,01/26/2010,01/26/2010,24300,0,10000,1
04-2010-5501,INDIAN TRAIL IMPROVEMENT DISTRICT,Administrative - Formal,Final Order Issued,CWA,404,01/08/2010,01/08/2010,5000,0,500,1
04-2010-5755,"GARCIA, EDDY, MR., KRAIZGRUN, DAVID, MR., WATERMEN FARMS, LLC",Administrative - Formal,Closed,CWA,404,,11/16/2009,0,0,10000,1
04-2010-5758,BELLAVIDA CORPORATION/ANTONIO VILARINO,Administrative - Formal,Final Order Issued,CWA,404,,11/02/2009,0,0,10000,1
04-2010-5763,"CAMPBELL EAST, LLC",Administrative - Formal,Final Order Issued,CWA,404,,11/09/2009,0,0,1000,1
04-2010-5783,"CHELICO, ROBERT J.",Administrative - Formal,Final Order Issued,CWA,404,,02/26/2010,0,0,10000,1
04-2010-5793,"JOHNSON, JAMES O.",Administrative - Formal,Final Order Issued,CWA,404,,03/25/2010,0,0,12650,1
04-2010-5796,"D'ISERNIA, BRIAN / NORTHWEST FLORIDA HOLDINGS, INC. / LAGOON LANDING, LLC / LAGOON HOLDINGS, LLC",Administrative - Formal,Final Order Issued,CWA,404,,05/04/2010,0,0,27200,1
04-2010-5804,"BURCH, ELLIOT",Administrative - Formal,Final Order Issued,CWA,404,,09/14/2010,0,0,26500,1
04-2010-5806,FLORIDA FISH AND WILDLIFE COMMISSION,Administrative - Formal,Final Order Issued,CWA,404,,09/07/2010,0,0,23044,1
04-2011-4500,"CLEWSTON, FL, CITY OF",Administrative - Formal,Closed,CWA,405,01/20/2011,01/20/2011,900,0,0,1
04-2011-4507,"PLANTATION, FL, CITY OF WWTP",Administrative - Formal,Closed,CWA,405,08/04/2011,08/04/2011,900,0,0,1
04-2011-4508,"LAKE CITY, FL, CITY OF WWTP",Administrative - Formal,Closed,CWA,405,08/04/2011,08/04/2011,900,0,0,1
